,series_animedb_id,series_title,series_type,series_episodes,my_watched_episodes,my_status,completion_rate
1,41380.0,100-man no Inochi no Ue ni Ore wa Tatteiru,TV,12.0,12.0,Completed,100.0
2,31646.0,3-gatsu no Lion,TV,22.0,22.0,Completed,100.0
3,35180.0,3-gatsu no Lion 2nd Season,TV,22.0,22.0,Completed,100.0
4,36793.0,3D Kanojo: Real Girl,TV,12.0,12.0,Completed,100.0
5,37956.0,3D Kanojo: Real Girl 2nd Season,TV,12.0,12.0,Completed,100.0
6,38101.0,5-toubun no Hanayome,TV,12.0,12.0,Completed,100.0
7,39783.0,5-toubun no Hanayome ∬,TV,12.0,12.0,Completed,100.0
8,41457.0,86,TV,11.0,11.0,Completed,100.0
9,48569.0,86 Part 2,TV,12.0,12.0,Completed,100.0
10,32998.0,91 Days,TV,12.0,12.0,Completed,100.0
11,1292.0,Afro Samurai,TV,5.0,5.0,Completed,100.0
12,27939.0,Afro Samurai Pilot,Special,1.0,1.0,Completed,100.0
13,37403.0,Ahiru no Sora,TV,50.0,50.0,Completed,100.0
14,34881.0,Aho Girl,TV,12.0,12.0,Completed,100.0
15,17082.0,Aiura,TV,12.0,12.0,Completed,100.0
16,31580.0,Ajin,TV,13.0,13.0,Completed,100.0
17,33253.0,Ajin Part 2,TV,13.0,13.0,Completed,100.0
18,30123.0,Akagami no Shirayuki-hime,TV,12.0,12.0,Completed,100.0
19,22199.0,Akame ga Kill!,TV,24.0,24.0,Completed,100.0
20,41433.0,Akudama Drive,TV,12.0,12.0,Completed,100.0
21,6547.0,Angel Beats!,TV,13.0,13.0,Completed,100.0
22,11111.0,Another,TV,12.0,12.0,Completed,100.0
23,24833.0,Ansatsu Kyoushitsu,TV,22.0,22.0,Completed,100.0
24,30654.0,Ansatsu Kyoushitsu 2nd Season,TV,25.0,25.0,Completed,100.0
25,21995.0,Ao Haru Ride,TV,12.0,12.0,Completed,100.0
26,9919.0,Ao no Exorcist,TV,25.0,25.0,Completed,100.0
27,11737.0,Ao no Exorcist Movie,Movie,1.0,1.0,Completed,100.0
28,38753.0,Araburu Kisetsu no Otome-domo yo.,TV,12.0,12.0,Completed,100.0
29,2402.0,Ashita no Joe,TV,79.0,79.0,Completed,100.0
30,53428.0,Ayaka,TV,12.0,12.0,Completed,100.0
31,38328.0,Azur Lane,TV,12.0,12.0,Completed,100.0
32,37525.0,Babylon,TV,12.0,12.0,Completed,100.0
33,28805.0,Bakemono no Ko,Movie,1.0,1.0,Completed,100.0
34,5081.0,Bakemonogatari,TV,15.0,15.0,Completed,100.0
35,34443.0,Baki,ONA,26.0,26.0,Completed,100.0
36,7674.0,Bakuman.,TV,25.0,25.0,Completed,100.0
37,34636.0,Ballroom e Youkoso,TV,24.0,24.0,Completed,100.0
38,36649.0,Banana Fish,TV,24.0,24.0,Completed,100.0
39,22789.0,Barakamon,TV,12.0,12.0,Completed,100.0
40,53407.0,Bartender: Kami no Glass,TV,12.0,12.0,Completed,100.0
41,39195.0,Beastars,TV,12.0,12.0,Completed,100.0
42,40935.0,Beastars 2nd Season,TV,12.0,12.0,Completed,100.0
43,9513.0,Beelzebub,TV,60.0,60.0,Completed,100.0
44,31049.0,Beyblade Burst,TV,51.0,51.0,Completed,100.0
45,34572.0,Black Clover,TV,170.0,170.0,Completed,100.0
46,889.0,Black Lagoon,TV,12.0,12.0,Completed,100.0
47,269.0,Bleach,TV,366.0,366.0,Completed,100.0
48,41467.0,Bleach: Sennen Kessen-hen,TV,13.0,13.0,Completed,100.0
49,53998.0,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,TV,13.0,13.0,Completed,100.0
50,56784.0,Bleach: Sennen Kessen-hen - Soukoku-tan,TV,14.0,3.0,Watching,21.428571428571427
51,34618.0,Blend S,TV,12.0,12.0,Completed,100.0
52,150.0,Blood+,TV,50.0,50.0,Completed,100.0
53,10490.0,Blood-C,TV,12.0,12.0,Completed,100.0
54,48824.0,Blue Archive PVs,PV,0.0,10.0,Watching,inf
55,49596.0,Blue Lock,TV,24.0,24.0,Completed,100.0
56,47917.0,Bocchi the Rock!,TV,12.0,12.0,Completed,100.0
57,31043.0,Boku dake ga Inai Machi,TV,12.0,12.0,Completed,100.0
58,31964.0,Boku no Hero Academia,TV,13.0,13.0,Completed,100.0
59,33486.0,Boku no Hero Academia 2nd Season,TV,25.0,25.0,Completed,100.0
60,36456.0,Boku no Hero Academia 3rd Season,TV,25.0,25.0,Completed,100.0
61,38408.0,Boku no Hero Academia 4th Season,TV,25.0,25.0,Completed,100.0
62,41587.0,Boku no Hero Academia 5th Season,TV,25.0,25.0,Completed,100.0
63,49918.0,Boku no Hero Academia 6th Season,TV,25.0,25.0,Completed,100.0
64,54789.0,Boku no Hero Academia 7th Season,TV,21.0,21.0,Watching,100.0
65,38186.0,Bokutachi wa Benkyou ga Dekinai,TV,13.0,13.0,Completed,100.0
66,40004.0,Bokutachi wa Benkyou ga Dekinai!,TV,13.0,13.0,Completed,100.0
67,34566.0,Boruto: Naruto Next Generations,TV,293.0,293.0,Completed,100.0
68,28755.0,Boruto: Naruto the Movie,Movie,1.0,1.0,Completed,100.0
69,31478.0,Bungou Stray Dogs,TV,12.0,12.0,Completed,100.0
70,32867.0,Bungou Stray Dogs 2nd Season,TV,12.0,12.0,Completed,100.0
71,38003.0,Bungou Stray Dogs 3rd Season,TV,12.0,12.0,Completed,100.0
72,50330.0,Bungou Stray Dogs 4th Season,TV,13.0,13.0,Completed,100.0
73,54898.0,Bungou Stray Dogs 5th Season,TV,11.0,11.0,Completed,100.0
74,12293.0,Campione! Matsurowanu Kamigami to Kamigoroshi no Maou,TV,13.0,13.0,Completed,100.0
75,44511.0,Chainsaw Man,TV,12.0,12.0,Completed,100.0
76,28999.0,Charlotte,TV,13.0,13.0,Completed,100.0
77,10800.0,Chihayafuru,TV,25.0,25.0,Completed,100.0
78,14397.0,Chihayafuru 2,TV,25.0,25.0,Completed,100.0
79,37379.0,Chihayafuru 3,TV,24.0,24.0,Completed,100.0
80,5908.0,Chinpui,TV,56.0,56.0,Completed,100.0
81,49613.0,Chiyu Mahou no Machigatta Tsukaikata,TV,13.0,13.0,Completed,100.0
82,37338.0,Chuukan Kanriroku Tonegawa,TV,24.0,24.0,Completed,100.0
83,14741.0,Chuunibyou demo Koi ga Shitai!,TV,12.0,12.0,Completed,100.0
84,18671.0,Chuunibyou demo Koi ga Shitai! Ren,TV,12.0,12.0,Completed,100.0
85,34382.0,Citrus,TV,12.0,12.0,Completed,100.0
86,2167.0,Clannad,TV,23.0,23.0,Completed,100.0
87,4181.0,Clannad: After Story,TV,24.0,24.0,Completed,100.0
88,1818.0,Claymore,TV,26.0,26.0,Completed,100.0
89,1575.0,Code Geass: Hangyaku no Lelouch,TV,25.0,25.0,Completed,100.0
90,2904.0,Code Geass: Hangyaku no Lelouch R2,TV,25.0,25.0,Completed,100.0
91,11703.0,Code:Breaker,TV,13.0,13.0,Completed,100.0
92,1.0,Cowboy Bebop,TV,26.0,26.0,Completed,100.0
93,8358.0,Crayon Shin-chan Movie 01: Action Kamen vs. Haigure Maou,Movie,1.0,1.0,Completed,100.0
94,3745.0,Crayon Shin-chan Movie 02: Buriburi Oukoku no Hihou,Movie,1.0,1.0,Completed,100.0
95,6460.0,Crayon Shin-chan Movie 05: Ankoku Tamatama Daitsuiseki,Movie,1.0,1.0,Completed,100.0
96,8362.0,Crayon Shin-chan Movie 08: Arashi wo Yobu Jungle,Movie,1.0,1.0,Completed,100.0
97,8363.0,Crayon Shin-chan Movie 11: Arashi wo Yobu Eikou no Yakiniku Road,Movie,1.0,1.0,Completed,100.0
98,8364.0,Crayon Shin-chan Movie 12: Arashi wo Yobu! Yuuhi no Kasukabe Boys,Movie,1.0,1.0,Completed,100.0
99,27653.0,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,Movie,1.0,1.0,Completed,100.0
100,42310.0,Cyberpunk: Edgerunners,ONA,10.0,10.0,Completed,100.0
101,31636.0,Dagashi Kashi,TV,12.0,12.0,Completed,100.0
102,36049.0,Dagashi Kashi 2,TV,12.0,12.0,Completed,100.0
103,57334.0,Dandadan,TV,12.0,0.0,Watching,0.0
104,32189.0,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,TV,12.0,12.0,Completed,100.0
105,33028.0,Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,11.0,11.0,Completed,100.0
106,16592.0,Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei The Animation,TV,13.0,13.0,Completed,100.0
107,11843.0,Danshi Koukousei no Nichijou,TV,12.0,12.0,Completed,100.0
108,8915.0,Dantalian no Shoka,TV,12.0,12.0,Completed,100.0
109,2025.0,Darker than Black: Kuro no Keiyakusha,TV,25.0,25.0,Completed,100.0
110,35849.0,Darling in the FranXX,TV,24.0,24.0,Completed,100.0
111,38656.0,Darwin's Game,TV,11.0,11.0,Completed,100.0
112,42423.0,Date A Bullet: Nightmare or Queen,Movie,1.0,1.0,Completed,100.0
113,15583.0,Date A Live,TV,12.0,12.0,Completed,100.0
114,19163.0,Date A Live II,TV,10.0,10.0,Completed,100.0
115,36633.0,Date A Live III,TV,12.0,12.0,Completed,100.0
116,41461.0,Date A Live IV,TV,12.0,12.0,Completed,100.0
117,6880.0,Deadman Wonderland,TV,12.0,12.0,Completed,100.0
118,14353.0,Death Billiards,Movie,1.0,1.0,Completed,100.0
119,1535.0,Death Note,TV,37.0,37.0,Completed,100.0
120,2994.0,Death Note: Rewrite,TV Special,2.0,2.0,Completed,100.0
121,28223.0,Death Parade,TV,12.0,12.0,Completed,100.0
122,2252.0,Devilman,TV,39.0,39.0,Completed,100.0
123,1629.0,Devilman Lady,TV,26.0,26.0,Completed,100.0
124,35120.0,Devilman: Crybaby,ONA,10.0,10.0,Completed,100.0
125,552.0,Digimon Adventure,TV,54.0,54.0,Completed,100.0
126,34543.0,Dive!!,TV,12.0,12.0,Completed,100.0
127,10155.0,Dog Days,TV,13.0,13.0,Completed,100.0
128,37982.0,Domestic na Kanojo,TV,12.0,12.0,Completed,100.0
129,38668.0,Dorohedoro,TV,12.0,12.0,Completed,100.0
130,37520.0,Dororo,TV,24.0,24.0,Completed,100.0
131,53421.0,Dosanko Gal wa Namara Menkoi,TV,12.0,12.0,Completed,100.0
132,38691.0,Dr. Stone,TV,24.0,24.0,Completed,100.0
133,223.0,Dragon Ball,TV,153.0,153.0,Completed,100.0
134,30694.0,Dragon Ball Super,TV,131.0,131.0,Completed,100.0
135,813.0,Dragon Ball Z,TV,291.0,291.0,Completed,100.0
136,39026.0,Dumbbell Nan Kilo Moteru?,TV,12.0,12.0,Completed,100.0
137,52701.0,Dungeon Meshi,TV,24.0,24.0,Completed,100.0
138,28121.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13.0,13.0,Completed,100.0
139,6746.0,Durarara!!,TV,24.0,24.0,Completed,100.0
140,27833.0,Durarara!!x2 Ketsu,TV,12.0,12.0,Completed,100.0
141,23199.0,Durarara!!x2 Shou,TV,12.0,12.0,Completed,100.0
142,27831.0,Durarara!!x2 Ten,TV,12.0,12.0,Completed,100.0
143,226.0,Elfen Lied,TV,13.0,13.0,Completed,100.0
144,38671.0,Enen no Shouboutai,TV,24.0,24.0,Completed,100.0
145,40956.0,Enen no Shouboutai: Ni no Shou,TV,24.0,24.0,Completed,100.0
146,790.0,Ergo Proxy,TV,23.0,23.0,Completed,100.0
147,32901.0,Eromanga-sensei,TV,12.0,12.0,Completed,100.0
148,2759.0,Evangelion Movie 1: Jo,Movie,1.0,1.0,Completed,100.0
149,3784.0,Evangelion Movie 2: Ha,Movie,1.0,1.0,Completed,100.0
150,3785.0,Evangelion Movie 3: Q,Movie,1.0,1.0,Completed,100.0
151,6702.0,Fairy Tail,TV,175.0,175.0,Completed,100.0
152,22043.0,Fairy Tail (2014),TV,102.0,102.0,Completed,100.0
153,35972.0,Fairy Tail: Final Series,TV,51.0,51.0,Completed,100.0
154,31376.0,Flying Witch,TV,12.0,12.0,Completed,100.0
155,36704.0,Free! Dive to the Future,TV,12.0,12.0,Completed,100.0
156,38680.0,Fruits Basket 1st Season,TV,25.0,25.0,Completed,100.0
